Restaurant Name,Address,Failed inspection on,Alive for x years
AM/PM,1221-1223 S Wabash AVE,09/08/2010,0.27123287671232876
PLUSH-CHICAGO,1104 W MADISON ST,08/13/2010,1.7534246575342465
BURRITO BUGGY,206 W VAN BUREN ST,08/06/2010,4.2
Madison Street Cafe,70 W MADISON ST,06/14/2013,4.747945205479452
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR,10/22/2012,0.736986301369863
PIZANO,61 E MADISON ST,01/25/2012,3.0164383561643837
JAMBA JUICE COMPANY,209 W JACKSON BLVD,09/03/2010,0.8602739726027397
HELLO TACOS! DE CERO,812-816 W RANDOLPH ST,03/18/2016,2.0657534246575344
VENUS CYPRIOT CUISINE,820 W JACKSON BLVD,10/07/2010,0.6876712328767123
"Aramark Educational Services, Inc.",525 S STATE ST,10/21/2014,4.580821917808219
UNION PARK LOUNGE,228 S RACINE AVE,09/10/2014,0.8657534246575342
MORGAN'S BAR AND GRILL,1325 S HALSTED ST,10/30/2014,1.9287671232876713
ZAPATISTA,1307 S WABASH AVE,12/17/2014,1.0520547945205478
TACO BURRITO KING INC.,811 W JACKSON BLVD,01/13/2017,1.2410958904109588
JIM'S ORIGINAL,1250 S UNION AVE,02/19/2014,2.663013698630137
Hard Rock Hotel,224-230 N MICHIGAN AVE,11/09/2011,0.9452054794520548
CORNER BAKERY CAFE,222 S RIVERSIDE PLZ,11/18/2011,5.380821917808219
"CARLYN BERGHOFF CATERING, INC.",17 W ADAMS ST,04/10/2013,3.495890410958904
DUNKIN DONUTS,201 W MADISON ST,08/11/2011,4.465753424657534
SALSERIA GRILL & CANTINA,233 S WACKER DR,06/24/2013,2.158904109589041
CROWNE PLAZA CHICAGO - THE SILVERSMITH HOTEL,10-16 S WABASH AVE,08/18/2010,1.6849315068493151
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE,05/29/2012,2.863013698630137
ROLY POLY,29 S LA SALLE ST,07/10/2012,0.9397260273972603
POPEYES CHICKEN,17 S WABASH AVE,09/20/2012,4.471232876712329
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE,05/30/2012,4.564383561643836
HYATT REGENCY CHICAGO-J'S DELI,151 E WACKER DR,10/06/2010,2.208219178082192
LAI LAI RESTAURANT,330 S WELLS ST,10/31/2016,0.46301369863013697
PACKING HOUSE,1113-1115 W RANDOLPH ST,09/19/2014,0.9726027397260274
VINTAGE LOUNGE,1447-1449 W TAYLOR ST,07/25/2014,4.767123287671233
VINTAGE LOUNGE,1447-1449 W TAYLOR ST,07/15/2010,4.767123287671233
JIMMY GREEN'S,825 S STATE ST,04/29/2010,2.495890410958904
JW MARRIOTT HOTEL CHICAGO,151 W ADAMS ST,10/15/2010,6.405479452054794
JIMMY GREEN'S,825 S STATE ST,04/29/2010,2.495890410958904
FLO & SANTO,1310 S WABASH AVE,03/09/2010,4.706849315068493
SAWTOOTH RESTAURANT AND LOUNGE,1350 W RANDOLPH ST,10/22/2014,0.863013698630137
SAWTOOTH RESTAURANT AND LOUNGE,1350 W RANDOLPH ST,07/13/2010,5.142465753424657
"HONG KONG CAFE, INC",5 S WABASH AVE,08/02/2010,1.5068493150684932
FRENCH ACCENT,233 S WACKER DR,02/16/2016,0.7506849315068493
FRENCH ACCENT,233 S WACKER DR,11/30/2010,5.967123287671233
600 Michigan,600 S MICHIGAN AVE,08/16/2010,4.873972602739726
623 Wabash,623 S WABASH AVE,04/01/2013,4.873972602739726
Harolds Chicken Shack,804 W WASHINGTON BLVD,11/02/2010,2.213698630136986
THE NORTHERN TRUST BANK - 5TH FLOOR,50 S LA SALLE ST,11/22/2010,1.8054794520547945
LUCKY'S SANDWICH CO. MAXWELL STREET,717 W MAXWELL ST,05/23/2014,1.7945205479452055
JERSEY MIKE'S,200 W MONROE ST,12/30/2010,4.345205479452055
THE WESTMINSTER HOT DOG,11 N WELLS ST,10/21/2014,3.8219178082191783
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST,08/09/2013,3.747945205479452
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST,06/30/2011,5.86027397260274
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST,06/30/2011,5.86027397260274
PEPPERINO PIZZERIA,1501 W MADISON ST,03/16/2016,0.0410958904109589
BRASSERIE BY LM,800 S MICHIGAN AVE,05/19/2011,5.602739726027397
BRASSERIE BY LM,800 S MICHIGAN AVE,05/19/2011,5.602739726027397
BRASSERIE BY LM,800 S MICHIGAN AVE,05/19/2011,5.602739726027397
STARBUCKS COFFEE #15683,8 N MICHIGAN AVE,07/07/2011,5.156164383561644
NATIVE FOODS CAFE,218 S CLARK ST,03/25/2014,1.9753424657534246
NATIVE FOODS CAFE,218 S CLARK ST,11/30/2011,2.723287671232877
MRS. FIELDS COOKIES,242 S STATE ST,08/06/2012,1.5232876712328767
ALAIN'S RESTAURANT,1355 S MICHIGAN AVE,07/24/2012,0.3287671232876712
ALAIN'S RESTAURANT,1355 S MICHIGAN AVE,07/10/2012,0.36712328767123287
WOW BAO,175 W JACKSON BLVD,09/21/2011,1.273972602739726
DQ LUXURY REFLEXOLOGY MASSAGE,910 S MICHIGAN AVE,03/29/2012,3.0246575342465754
LITO'S EMPANADAS II LLC,1437 W TAYLOR ST,01/19/2012,2.372602739726027
LORETTA'S BAKE SHOP AND CAFE,939 W RANDOLPH,04/08/2015,1.4712328767123288
FLIRTY CUPCAKES,1030 W TAYLOR ST,01/15/2016,1.378082191780822
GEB,841 W RANDOLPH ST FL,06/14/2016,1.6712328767123288
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE,05/27/2015,0.0136986301369863
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE,05/29/2012,3.0082191780821916
STARBUCKS COFFEE #16309,200 S MICHIGAN AVE FL,05/03/2012,3.9068493150684933
LEMON TREE EXPRESS,176 N WELLS ST,02/14/2014,1.2602739726027397
KABOCHA,952 W LAKE ST,07/24/2014,1.4876712328767123
KABOCHA,952 W LAKE ST,04/11/2013,1.4876712328767123
ROOK CAFE AND SMOOTHIE BAR,816 S MICHIGAN AVE,03/06/2013,0.4
TOPPERS PIZZA,727 S STATE ST,10/14/2014,0.4
JERSEY MIKE'S SUBS,26 E ROOSEVELT RD FL,02/06/2013,1.4794520547945205
EUREST DINING SERVICES,50 S LA SALLE ST,08/05/2016,2.7945205479452055
EUREST DINING SERVICES,801 S CANAL ST,07/05/2016,1.6876712328767123
1250 SOUTH LLC,1250 S MICHIGAN AVE,07/11/2013,2.1452054794520548
GEPADE CAFFE,60 E ADAMS ST,08/24/2015,2.6
DOMINO'S PIZZA,1234 S CANAL ST,05/19/2016,0.5013698630136987
"BLOCK 37 CTA DONUTS INC.,",108 N STATE ST,08/01/2017,3.9753424657534246
K-KITCHEN,201 N CLARK ST,10/08/2013,2.0136986301369864
PARLOR PIZZA BAR,108 N GREEN ST,06/13/2017,3.1616438356164385
PARLOR PIZZA BAR,108 N GREEN ST,06/17/2014,3.164383561643836
TAPWORKS,820 W JACKSON BLVD,01/22/2018,1.3068493150684932
JERSEY MIKES,26 E ROOSEVELT RD FL,09/15/2014,0.673972602739726
AU BON PAIN,829 S WABASH ST,02/28/2017,1.063013698630137
GOOD STUFF EATERY,22 S WABASH AVE,10/23/2015,2.0054794520547947
KINGSBAKER CAFE,900 W VAN BUREN ST,03/12/2015,1.9945205479452055
HIDEOUT INN,35 E RIVERWALK SOUTH,08/13/2015,0.8657534246575342
FIREFIN POKE SHOP,10 S LA SALLE ST,05/25/2017,0.8767123287671232
THAI SPOON AND SUSHI,601 S WABASH AVE,05/09/2017,0.21095890410958903
ROSEBUD IN & OUT,1 S DEARBORN ST,12/23/2016,1.2
PARKSHORE MARKET LTD,195 N HARBOR DR,05/08/2013,0.7643835616438356
UNIVERSITY CLUB OF CHICAGO,76 E MONROE ST,11/21/2017,0.12054794520547946
LEONA'S PIZZERIA,1419 W TAYLOR ST,03/05/2014,0.7534246575342466
MAIN DINING,65 W JACKSON BLVD,06/02/2017,0.8575342465753425
METROPOLITAN CLUB,233 S WACKER DR,07/19/2011,5.926027397260274
WENDY'S OLD FASHIONED HAMBURGERS,6 S CLARK ST,06/24/2015,0.043835616438356165
NINE,440 W RANDOLPH ST,10/30/2012,1.4958904109589042
THE CHICAGO FIREHOUSE REST.,1401 S MICHIGAN AVE,05/03/2012,4.69041095890411
